my_name,matched_name,confidence,cloudinary_url,status
Barbell Bench Press,Barbell Bench Press,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515211/workout_exercises/barbell_bench_press.mp4,COMPLETE
Incline Dumbbell Press,Dumbbell Incline Bench Press,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515217/workout_exercises/incline_dumbbell_press.mp4,COMPLETE
Cable Fly,Cable Pec Fly,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515221/workout_exercises/cable_fly.mp4,COMPLETE
Dumbbell Press,Dumbbell Bench Press,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515226/workout_exercises/dumbbell_press.mp4,COMPLETE
Overhead Barbell Press,Barbell Overhead Press,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515232/workout_exercises/overhead_barbell_press.mp4,COMPLETE
Lateral Raises,Dumbbell Lateral Raise,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515236/workout_exercises/lateral_raises.mp4,COMPLETE
Dumbbell Shoulder Press,Dumbbell Seated Overhead Press,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515240/workout_exercises/dumbbell_shoulder_press.mp4,COMPLETE
Tricep Pushdown,Machine Cable V Bar Push Downs,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515245/workout_exercises/tricep_pushdown.mp4,COMPLETE
Diamond Push-Ups,Diamond Push Ups,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515250/workout_exercises/diamond_push_ups.mp4,COMPLETE
Dips,Box Dips,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515254/workout_exercises/dips.mp4,COMPLETE
Barbell Row,Barbell Bent Over Row,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515258/workout_exercises/barbell_row.mp4,COMPLETE
Pull-Ups,Pull Ups,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515262/workout_exercises/pull_ups.mp4,COMPLETE
Lat Pulldown,Machine Pulldown,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515268/workout_exercises/lat_pulldown.mp4,COMPLETE
Cable Row,Machine Seated Cable Row,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515273/workout_exercises/cable_row.mp4,COMPLETE
Deadlift,Barbell Deadlift,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515278/workout_exercises/deadlift.mp4,COMPLETE
Romanian Deadlift,Barbell Romanian Deadlift,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515282/workout_exercises/romanian_deadlift.mp4,COMPLETE
Dumbbell Row,Dumbbell Row Bilateral,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515285/workout_exercises/dumbbell_row.mp4,COMPLETE
Barbell Curl,Barbell Curl,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515290/workout_exercises/barbell_curl.mp4,COMPLETE
Chin-Ups,Chin Ups,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515295/workout_exercises/chin_ups.mp4,COMPLETE
Barbell Squat,Barbell Squat,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515301/workout_exercises/barbell_squat.mp4,COMPLETE
Leg Press,Machine Leg Press,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515306/workout_exercises/leg_press.mp4,COMPLETE
Leg Curl,Machine Hamstring Curl,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515312/workout_exercises/leg_curl.mp4,COMPLETE
Calf Raises,Calf Raises,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515317/workout_exercises/calf_raises.mp4,COMPLETE
Dumbbell Lunges,Dumbbell Forward Lunge,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515321/workout_exercises/dumbbell_lunges.mp4,COMPLETE
Goblet Squat,Dumbbell Goblet Squat,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515326/workout_exercises/goblet_squat.mp4,COMPLETE
Jump Squats,Jump Squats,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515332/workout_exercises/jump_squats.mp4,COMPLETE
Plank,Forearm Plank,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515345/workout_exercises/plank.mp4,COMPLETE
Crunches,Crunches,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515348/workout_exercises/crunches.mp4,COMPLETE
Leg Raises,Laying Leg Raises,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515353/workout_exercises/leg_raises.mp4,COMPLETE
Russian Twist,Dumbbell Russian Twist,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515357/workout_exercises/russian_twist.mp4,COMPLETE
Mountain Climbers,Mountain Climber,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515363/workout_exercises/mountain_climbers.mp4,COMPLETE
Push-Ups,Push Up,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515371/workout_exercises/push_ups.mp4,COMPLETE
Pike Push-Ups,Elevated Pike Press,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515391/workout_exercises/pike_push_ups.mp4,COMPLETE
Burpees,Burpee,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515396/workout_exercises/burpees.mp4,COMPLETE
Jumping Jacks,Cardio Jumping Jacks,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515403/workout_exercises/jumping_jacks.mp4,COMPLETE
Dumbbell Tricep Kickback,Dumbbell Tricep Kickback,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515407/workout_exercises/dumbbell_tricep_kickback.mp4,COMPLETE
Treadmill Run,Treadmill Sprint,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515412/workout_exercises/treadmill_run.mp4,COMPLETE
Rowing Machine,Cardio Row Erg Rower,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515419/workout_exercises/rowing_machine.mp4,COMPLETE
Stair Climber,,0,,NO_MATCH
Hip Thrust,Barbell Hip Thrust,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515424/workout_exercises/hip_thrust.mp4,COMPLETE
Dumbbell Fly,Dumbbell Chest Fly,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515429/workout_exercises/dumbbell_fly.mp4,COMPLETE
Cable Lateral Raise,Cable Low Bilateral Lateral Raise,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515433/workout_exercises/cable_lateral_raise.mp4,COMPLETE
Dumbbell Lateral Raise,Dumbbell Lateral Raise,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515437/workout_exercises/dumbbell_lateral_raise.mp4,COMPLETE
Cable Front Raise,Cable Bar Front Raise,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515442/workout_exercises/cable_front_raise.mp4,COMPLETE
Upright Row,Barbell Upright Row,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515446/workout_exercises/upright_row.mp4,COMPLETE
Shrugs,Dumbbell Shrug,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515450/workout_exercises/shrugs.mp4,COMPLETE
External Rotation,Dumbbell Shoulder External Rotation,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515454/workout_exercises/external_rotation.mp4,COMPLETE
Cross Body Mountain Climbers,Mountain Climber,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515460/workout_exercises/cross_body_mountain_climbers.mp4,COMPLETE
Overhead Triceps and Shoulder Stretch,Triceps Stretch Variation One,60,,NEEDS_REVIEW
Shoulder Stretch,Shoulders Stretch Variation One,75,,NEEDS_REVIEW
Arm Circles,Forward Arm Circle,70,,NEEDS_REVIEW
Shoulder Rolls,,20,,NO_MATCH
Thread the Needle Stretch,Thread The Needle Hip Over Knees,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515477/workout_exercises/thread_the_needle_stretch.mp4,COMPLETE
Wall Shoulder Stretch,Shoulder Flexion Wall Stretch,65,,NEEDS_REVIEW
Hammer Curl,Dumbbell Hammer Curl,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515488/workout_exercises/hammer_curl.mp4,COMPLETE
Preacher Curl,Kettlebell Preacher Curl,75,,NEEDS_REVIEW
Concentration Curl,Dumbbell Concentration Curl,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515494/workout_exercises/concentration_curl.mp4,COMPLETE
Incline Dumbbell Curl,Dumbbell Incline Hammer Curl,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515500/workout_exercises/incline_dumbbell_curl.mp4,COMPLETE
Spider Curl,Dumbbell Spider Curl,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515504/workout_exercises/spider_curl.mp4,COMPLETE
EZ Bar Curl,Barbell Curl,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515508/workout_exercises/ez_bar_curl.mp4,COMPLETE
Reverse Fly,Dumbbell Rear Delt Fly,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515511/workout_exercises/reverse_fly.mp4,COMPLETE
Zottman Curl,Dumbbell Incline Zottman Curl,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515516/workout_exercises/zottman_curl.mp4,COMPLETE
Battle Rope Alternating Waves,,0,,NO_MATCH
Jump Rope,Jump Rope,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515521/workout_exercises/jump_rope.mp4,COMPLETE
Standing Biceps Stretch,Biceps Stretch Variation One,75,,NEEDS_REVIEW
Wall Biceps Stretch,Biceps Stretch Variation One,65,,NEEDS_REVIEW
Doorway Biceps Stretch,Biceps Stretch Variation One,65,,NEEDS_REVIEW
Seated Biceps Stretch,Biceps Stretch Variation One,65,,NEEDS_REVIEW
Archer Pushups,Push Up,60,,NEEDS_REVIEW
Behind the Back Biceps Stretch,Biceps Stretch Variation One,65,,NEEDS_REVIEW
Close Grip Bench Press,Barbell Close Grip Bench Press,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515526/workout_exercises/close_grip_bench_press.mp4,COMPLETE
Parallel Bar Dips,Parallel Bar Dips,100,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515530/workout_exercises/parallel_bar_dips.mp4,COMPLETE
Chair Dips,Bench Dips,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515533/workout_exercises/chair_dips.mp4,COMPLETE
Clap Push-Up,Clap Push Up,100,,MAP_MISS
Floor Press,Barbell Floor Press,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515537/workout_exercises/floor_press.mp4,COMPLETE
Rope Triceps Pushdown,Cable Rope Pushdown,95,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515541/workout_exercises/rope_triceps_pushdown.mp4,COMPLETE
Dumbbell Triceps Extension,Dumbbell Seated Overhead Tricep Extension,75,,NEEDS_REVIEW
Skull Crusher,Barbell Laying Triceps Extensions,85,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515545/workout_exercises/skull_crusher.mp4,COMPLETE
Cable Overhead Triceps Extension,Cable Rope Overhead Tricep Extension,90,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515551/workout_exercises/cable_overhead_triceps_extension.mp4,COMPLETE
Kickback,Cable Tricep Kickback,80,https://res.cloudinary.com/dkygyxsdw/video/upload/v1774515555/workout_exercises/kickback.mp4,COMPLETE
